"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"316976b9-5a41-4ba1-aac2-e7c9dedb7104","Dyonisius Periegetes.txt","Macedonian","char-offset:18996","PLACE","http://pleiades.stoa.org/places/491656","Macedonia","-0550/0640","41.25","21.75","unknown","VERIFIED","","","",""
"e65a0109-26cb-4d82-a738-d48e841a25f8","Dyonisius Periegetes.txt","Haemus","char-offset:19018","PLACE","http://pleiades.stoa.org/places/216830","Haemus M.|Haemus Mons, Stara Planina","-0030/2100","42.7168715","24.91728","mountain","VERIFIED","","","",""
"7010e737-ad2b-45f0-a529-930ddf2e1934","Dyonisius Periegetes.txt","Thrace","char-offset:19058","PLACE","http://pleiades.stoa.org/places/501574","*Porsulae/Maximianopolis|*Porsulae/Maximianopolis, Komotini","-0030/0640","41.128611","25.325278","settlement","VERIFIED","","","",""
"5a79c96a-3555-4761-8877-fedf65ce9c32","Dyonisius Periegetes.txt","Dodona","char-offset:19118","PLACE","http://dare.ht.lu.se/places/24190","Dodona Stadium","","39.54590713525704","20.78703097240032","","VERIFIED","","","",""
"b81fdd94-a1c2-4c22-b038-431e0c42a809","Dyonisius Periegetes.txt","Dodona","char-offset:19118","PLACE","http://dare.ht.lu.se/places/24190","Dodona Stadium","","39.54590713525704","20.78703097240032","","VERIFIED","","","",""
"0d41e211-8614-497f-9f8e-55d69b52ba03","Dyonisius Periegetes.txt","Aracynthus","char-offset:19190","PLACE","http://pleiades.stoa.org/places/530807","Arachthos/Araththos/Aratthos/Aracthus (river)","-0750/2100","39.6814835","21.0044807","river","VERIFIED","","","",""
"dbec9721-89a8-4dee-8c17-e260655126bc","Dyonisius Periegetes.txt","Aetolian","char-offset:19217","PLACE","http://pleiades.stoa.org/places/540591","Aetolia","-0750/0300","38.51586100952381","21.759714990476194","region","VERIFIED","","","",""
"49c83996-3be1-4fcc-9c16-712681da7afa","Dyonisius Periegetes.txt","Achelous","char-offset:19274","PLACE","http://pleiades.stoa.org/places/530768","Achelous (river)","-0750/0640","38.3388321","21.1067111","river","VERIFIED","","","",""
"d63dd8b2-13b8-43c4-800f-1c728beaece4","Dyonisius Periegetes.txt","Achelous","char-offset:19274","PLACE","http://pleiades.stoa.org/places/530768","Achelous (river)","-0750/0640","38.3388321","21.1067111","river","VERIFIED","","","",""
"ae415258-0e6b-48e5-8bd8-6b8d6b5298ac","Dyonisius Periegetes.txt","Echinades","char-offset:19356","PLACE","http://pleiades.stoa.org/places/530852","Echinades (islands)","-0550/0300","38.25","21.25","archipelago","VERIFIED","","","",""
