"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"b3fd1f5c-09b4-49c4-972f-aac316ec1c42","Mela.txt","Sebennyticum","char-offset:22071","PLACE","http://pleiades.stoa.org/places/727227","Sebennytos|Sebennytos, Samanud","-0750/0640","30.962841","31.239569","settlement","VERIFIED","","","",""
"d2eceeff-b46e-400d-8fc2-f43b8a508bfc","Mela.txt","Pathmeticum","char-offset:22085","PLACE","","","","","","","UNVERIFIED","","","",""
"e87c929b-c93a-4d4f-81ec-ff4066bf72a5","Mela.txt","Mendesium","char-offset:22098","PLACE","http://dare.ht.lu.se/places/28508","Saphthis|Saphthis, Mendesio","-0330/0640","30.5716","31.58322","settlement","VERIFIED","","","",""
"9a552fdb-7631-401b-b0db-31ccc41ae144","Mela.txt","Cataptystum","char-offset:22109","PLACE","","","","","","","UNVERIFIED","","","",""
"a4321ca3-37f9-4b04-b045-7c158ab00e7a","Mela.txt","Pelusiacum","char-offset:22122","PLACE","http://pleiades.stoa.org/places/727191","Pelousiakon Stoma","-0550/2100","31.062","32.5824","mouth","VERIFIED","","","",""
"aff0a2ad-8be3-47ba-9648-180f412364f7","Mela.txt","Nili","char-offset:22133","PLACE","http://pleiades.stoa.org/places/727172","Nilus (river)","-6000/2100","19.211408766666665","30.567329633333333","river","VERIFIED","","","",""
"6d6c8898-ca0e-46ef-b53c-5d42c9dea986","Mela.txt","Arabia","char-offset:22150","PLACE","http://pleiades.stoa.org/places/912809","Arabia","-0750/0640","29.5","45.5","region","VERIFIED","","","",""
"30d2641f-60a8-4dd1-95e7-f676b87d7308","Mela.txt","Rubrum mare","char-offset:22165","PLACE","http://pleiades.stoa.org/places/39290","Arabicus Sinus/Erythr(ae)um/Rubrum Mare","-0030/2100","19.0","39.5","water-open","VERIFIED","","","",""
"7e117990-c4b5-45b6-aa3b-5df947dd66b2","Mela.txt","Casio monte","char-offset:22261","PLACE","","","","","","","UNVERIFIED","","","",""
"329cac37-4f13-41dd-bb9f-18abedbb3066","Mela.txt","Azotum","char-offset:22318","PLACE","http://pleiades.stoa.org/places/687843","Azotos Paralios|Azotos Paralios, Ashdod Yam/Minet el Qal'a","0300/0640","31.77961","34.6215","settlement","VERIFIED","","","",""
"817ea0fb-8e24-4212-90af-97fc47756a7d","Mela.txt","Syria","char-offset:22444","PLACE","http://pleiades.stoa.org/places/678096","Coele Syria","-0550/0640","33.75","36.75","region","VERIFIED","","","",""
"f3e5a196-ce5c-49c2-814c-fa0e43428c97","Mela.txt","Mesopotamia","char-offset:22563","PLACE","http://pleiades.stoa.org/places/981534","Mesopotamia","","37.5","37.5","province","VERIFIED","","","",""
"9d236521-1ea1-4f41-b311-3b2d4e910e2c","Mela.txt","Damascene","char-offset:22578","PLACE","http://dare.ht.lu.se/places/21087","Damascus|Damascus, Damascus","-1344/2000","33.511612","36.309102","settlement,temple-2,mosque","VERIFIED","","","",""
"6614d4f1-1a9c-41e5-90b7-200ce4cd0f23","Mela.txt","Adiabene","char-offset:22591","PLACE","http://pleiades.stoa.org/places/893935","Adiabene","-0330/0640","36.17824533333334","44.015770999999994","region","VERIFIED","","","",""
"0cd2b3d7-53b1-4724-b7be-0713fbd315d2","Mela.txt","Babylonia","char-offset:22603","PLACE","http://pleiades.stoa.org/places/912816","Babylonia","-1600/0640","32.5","44.5","region,province","VERIFIED","","","",""
"14f698fb-f7c9-49ce-a7fe-d739e0543f89","Mela.txt","Iudaea","char-offset:22616","PLACE","http://pleiades.stoa.org/places/687934","Iudaea","-0330/0300","31.928333","35.238333","region","VERIFIED","","","",""
"741819d5-a1b1-48da-a476-e1f68e16c390","Mela.txt","Commagene","char-offset:22626","PLACE","http://pleiades.stoa.org/places/658443","Commagene","-0330/0640","36.526222","37.9555335","region","VERIFIED","","","",""
"63ab881e-303a-49d2-a351-dc5400085b32","Mela.txt","Sophene","char-offset:22639","PLACE","http://pleiades.stoa.org/places/874707","Sophene","-0750/0640","38.5","39.5","region","VERIFIED","","","",""
"f91ffc07-94db-459c-a268-b2a337715c7b","Mela.txt","Phoenice","char-offset:22695","PLACE","http://pleiades.stoa.org/places/678334","Phoenice","-0750/0640","33.25","35.25","region","VERIFIED","","","",""
"8cf02481-b627-48cf-afa9-8f5c4f4292e2","Mela.txt","Ciliciae","char-offset:22715","PLACE","http://pleiades.stoa.org/places/648670","Kilikiai Pylai|Kilikiai Pylai|Kilikiai Pylai, near Sarıseki|Kilikiai Pylai, Gülek Bogazi","-0550/2100","36.658322","36.227919","pass","VERIFIED","","","",""
"8934d2c7-11dc-4a57-a398-ca84a1a59dce","Mela.txt","Antiochia","char-offset:22734","PLACE","http://pleiades.stoa.org/places/658381","Antiochia/Theoupolis|Antiochia/Theoupolis, Antakya","-1750/2000","36.200663","36.165318","amphitheatre,settlement,urban","VERIFIED","","","",""
"87be29f2-0339-4aa7-8ed7-3c1ef4ba6309","Mela.txt","Babylon","char-offset:22918","PLACE","http://pleiades.stoa.org/places/893951","Babylon|Babylon, Babylon","-2000/0640","32.53617","44.42082","settlement,urban","VERIFIED","","","",""
"8e965cb9-cfdd-4160-8a19-5443b1d0a716","Mela.txt","Euphrates","char-offset:22953","PLACE","http://pleiades.stoa.org/places/912849","Euphrates (river)","-18000/2000","34.74942377777777","40.93640094444444","river","VERIFIED","","","",""
"cc16a026-f36e-4f03-88be-cb63a9460b3c","Mela.txt","Tigris","char-offset:22966","PLACE","http://pleiades.stoa.org/places/912964","Tigris/Diglitus (river)","-18000/2000","34.52908255","44.79467829666667","river","VERIFIED","","","",""
"d4b17d41-0994-4081-8932-bd192f602801","Mela.txt","Gaza","char-offset:23038","PLACE","http://pleiades.stoa.org/places/687902","Gaza|Gaza/Kadytis, Gaza","-3300/2000","31.503959","34.46203","settlement,port","VERIFIED","","","",""
"5afe8cf4-3d6e-439a-af25-fd956b578f9a","Mela.txt","Ascalon","char-offset:23188","PLACE","http://pleiades.stoa.org/places/687839","Ashqelon/Ascalon|Ashqelon/Ascalon, Ashkelon","-6000/2000","31.66426","34.54732","settlement","VERIFIED","","","",""
