"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"7db05552-1d4f-4f1d-87ae-5450551f16be","Arriano.txt","Fasis","char-offset:9470","PLACE","http://pleiades.stoa.org/places/857275","Phasis|Phasis, Poti","-0550/0640","42.121777","41.717213","settlement","VERIFIED","","","",""
"ebb9080f-2dbb-4f32-be55-2c393c617de2","Arriano.txt","Fasis","char-offset:11345","PLACE","http://pleiades.stoa.org/places/857275","Phasis|Phasis, Poti","-0550/0640","42.121777","41.717213","settlement","VERIFIED","","","",""
"de738a7d-f052-4d3e-b2aa-e2afe47c1816","Arriano.txt","noventa estadios","char-offset:11393","EVENT","","","","","","","","","","",""
"db664813-f985-4cac-a322-5cf7902d2e85","Arriano.txt","Jobos","char-offset:11469","PLACE","http://pleiades.stoa.org/places/857092","Chorsos/Chobos (river)|Chorsos fl./Chobos fl., Enguri river","-0550/0640","42.41593","41.64585","river","VERIFIED","","","",""
"d9328999-09a5-487e-9623-72b7fbbe6d65","Arriano.txt","Jobos","char-offset:11651","PLACE","http://pleiades.stoa.org/places/857092","Chorsos/Chobos (river)|Chorsos fl./Chobos fl., Enguri river","-0550/0640","42.41593","41.64585","river","VERIFIED","","","",""
"f14318c4-7ebf-4f50-aed5-dff2f7a60e43","Arriano.txt","Sigamos","char-offset:11688","PLACE","http://pleiades.stoa.org/places/857318","Sigames/Sicanabis (river)","-0030/0640","42.5","41.5","river","VERIFIED","","","",""
"57b7ae44-4564-409c-9016-1aac7ed2cab4","Arriano.txt","Jobos","char-offset:11708","PLACE","http://pleiades.stoa.org/places/857092","Chorsos/Chobos (river)|Chorsos fl./Chobos fl., Enguri river","-0550/0640","42.41593","41.64585","river","VERIFIED","","","",""
"9bbd4ab3-7583-47eb-b9c6-09194b182bbe","Arriano.txt","Sigamos","char-offset:11763","PLACE","http://pleiades.stoa.org/places/857318","Sigames/Sicanabis (river)","-0030/0640","42.5","41.5","river","VERIFIED","","","",""
"78e36d2e-1acb-42d2-a434-9ae47fdb9879","Arriano.txt","Tarsuras","char-offset:11778","PLACE","http://pleiades.stoa.org/places/857236","Moches/Tarsouras?/Thersos?/Kyaneos?/Gyenos? (river)|Moches/Tarsouras?/Thersos?/Kyaneos?/Gyenos?, Mokvi river","-0330/0640","42.76436","41.44662","river","VERIFIED","","","",""
"a49fa860-68c0-4a13-b631-aa2f6d75f3da","Arriano.txt","Hipos","char-offset:11841","PLACE","http://pleiades.stoa.org/places/857163","Hippos (river)","-0030/0640","42.5","41.5","river","VERIFIED","","","",""
